Date,Time,CO (ppm),NO2 (ppm),CO2 (ppm),TVOC (ppb),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB) [Mobile],Activity
04-09-2024,18:52:47,35.7,0.1,401,110,36,49,52,34.1,18,51.12,No Cooking
04-09-2024,18:52:53,35.7,0.1,401,108,36,49,52,34.1,18,53.99,No Cooking
04-09-2024,18:52:59,35.7,0.1,401,108,37,50,53,34.1,18.1,54.09,No Cooking
04-09-2024,18:53:04,34.4,0.1,401,106,36,49,53,34.1,18,51.1,No Cooking
04-09-2024,18:53:10,35.7,0.1,401,102,37,51,55,34.1,18,51.58,No Cooking
04-09-2024,18:53:15,35.7,0.1,400,104,37,52,56,34.1,18,50.72,No Cooking
04-09-2024,18:53:21,35.7,0.1,400,106,37,53,57,34.1,18.1,52.5,No Cooking
04-09-2024,18:53:27,35.7,0.1,400,104,36,52,56,34.1,18.1,55.86,No Cooking
04-09-2024,18:53:32,34.2,0.1,400,97,37,53,58,34.1,18.1,56.87,No Cooking
04-09-2024,18:53:38,32,0.1,401,102,36,53,57,34.1,18.1,56.13,No Cooking
04-09-2024,18:53:43,32,0.1,401,103,36,52,57,34.1,18.1,50.09,No Cooking
